Unnamed: 0,Year,State,Never smoked,Smokers
0,1996,Puerto Rico,0.695,0.305
1,1997,Puerto Rico,0.6990000000000001,0.30099999999999993
2,1998,Puerto Rico,0.679,0.32099999999999995
3,1999,Puerto Rico,0.71,0.29
4,2000,Puerto Rico,0.716,0.28400000000000003
5,2001,Puerto Rico,0.705,0.295
6,2001,Virgin Islands,0.778,0.22200000000000006
7,2002,Puerto Rico,0.698,0.30200000000000005
8,2002,Virgin Islands,0.785,0.215
9,2003,Puerto Rico,0.688,0.3120000000000001
10,2003,Virgin Islands,0.764,0.23599999999999996
11,2004,Puerto Rico,0.722,0.278
12,2004,Virgin Islands,0.807,0.193
13,2005,Puerto Rico,0.7,0.3
14,2005,Virgin Islands,0.7909999999999999,0.20900000000000005
15,2006,Puerto Rico,0.7070000000000001,0.293
16,2006,Virgin Islands,0.78,0.22
17,2007,Puerto Rico,0.6859999999999999,0.3140000000000001
18,2007,Virgin Islands,0.795,0.205
19,2008,Puerto Rico,0.701,0.29900000000000004
20,2008,Virgin Islands,0.821,0.17900000000000005
21,2009,Puerto Rico,0.715,0.285
22,2010,Puerto Rico,0.708,0.29200000000000004
23,1999,Louisiana,0.5579999999999999,0.442
24,2010,Nevada,0.528,0.472
25,1996,Nebraska,0.5429999999999999,0.457
26,2003,Vermont,0.501,0.499
27,2001,Tennessee,0.5660000000000001,0.434
28,2008,Guam,0.532,0.468
29,2007,Guam,0.5489999999999999,0.451
30,2003,Guam,0.517,0.483
31,2002,Guam,0.526,0.474
32,2001,Guam,0.57,0.43
33,2003,Delaware,0.5,0.5
34,1998,Vermont,0.491,0.509
35,2006,Oklahoma,0.512,0.488
36,2004,Washington,0.555,0.445
37,1998,New York,0.516,0.484
38,2005,South Dakota,0.5479999999999999,0.452
39,1999,Illinois,0.519,0.481
40,1997,Indiana,0.502,0.498
41,2000,Illinois,0.551,0.449
42,2006,Connecticut,0.5479999999999999,0.452
43,2005,Montana,0.523,0.477
44,2002,Missouri,0.48,0.52
45,2002,Nevada,0.4920000000000001,0.508
46,2001,Florida,0.501,0.499
47,2004,Missouri,0.517,0.483
48,2007,North Carolina,0.523,0.477
49,2010,Louisiana,0.56,0.44
50,1999,Utah,0.688,0.3120000000000001
51,2001,Hawaii,0.555,0.445
52,2008,Montana,0.547,0.453
53,2001,Vermont,0.476,0.524
54,2000,Georgia,0.5379999999999999,0.462
55,2004,Virginia,0.5579999999999999,0.442
56,2004,Nebraska,0.586,0.414
57,2009,Massachusetts,0.5660000000000001,0.434
58,2002,Alabama,0.524,0.476
59,1995,Mississippi,0.5579999999999999,0.442
60,2010,California,0.648,0.35200000000000004
61,1996,Iowa,0.526,0.474
62,2002,Idaho,0.552,0.448
63,2007,Nevada,0.531,0.469
64,2010,Kansas,0.588,0.412
65,2008,Nebraska,0.5660000000000001,0.434
66,1998,Missouri,0.5,0.5
67,2001,Rhode Island,0.473,0.527
68,1995,New Hampshire,0.462,0.5379999999999999
69,2002,New Mexico,0.528,0.472
70,2000,North Carolina,0.496,0.504
71,2002,Connecticut,0.502,0.498
72,1998,New Mexico,0.532,0.468
73,2009,Maryland,0.615,0.385
74,2005,Mississippi,0.555,0.445
75,2005,Minnesota,0.512,0.488
76,1998,Alabama,0.539,0.461
77,1996,Virginia,0.523,0.477
78,2001,Montana,0.508,0.4920000000000001
79,1996,North Carolina,0.512,0.488
80,1995,Iowa,0.53,0.47
81,2006,Ohio,0.5329999999999999,0.467
82,2006,Montana,0.5429999999999999,0.457
83,1999,Idaho,0.542,0.458
84,2008,Vermont,0.511,0.489
85,1996,New Jersey,0.526,0.474
86,1997,Texas,0.5710000000000001,0.429
87,1998,Arkansas,0.499,0.501
88,2002,Washington,0.501,0.499
89,2002,Alaska,0.45,0.55
90,2009,Mississippi,0.546,0.454
91,2000,California,0.5670000000000001,0.433
92,2004,Michigan,0.516,0.484
93,2010,Massachusetts,0.5660000000000001,0.434
94,2001,Colorado,0.517,0.483
95,2007,North Dakota,0.5379999999999999,0.462
96,2008,Missouri,0.501,0.499
97,2000,Kansas,0.5539999999999999,0.446
98,2000,Tennessee,0.521,0.479
99,2001,Arkansas,0.508,0.4920000000000001
100,2005,New Mexico,0.541,0.459
101,2009,Georgia,0.603,0.397
102,2002,Arizona,0.522,0.478
103,1995,Kansas,0.541,0.459
104,2001,Washington,0.499,0.501
105,2001,Illinois,0.525,0.475
106,2001,Missouri,0.496,0.504
107,2009,Oklahoma,0.5,0.5
108,2010,Arkansas,0.53,0.47
109,1997,Pennsylvania,0.531,0.469
110,2004,Arizona,0.57,0.43
111,2003,Ohio,0.51,0.49
112,1999,Massachusetts,0.55,0.45
113,2007,Iowa,0.5670000000000001,0.433
114,2001,Wyoming,0.519,0.481
115,2004,Alaska,0.512,0.488
116,2001,New York,0.53,0.47
117,2009,New Mexico,0.562,0.438
118,1995,Rhode Island,0.46,0.54
119,2007,Georgia,0.579,0.421
120,2003,Virginia,0.54,0.46
121,2007,West Virginia,0.486,0.514
122,2005,Michigan,0.52,0.48
123,1999,Texas,0.5429999999999999,0.457
124,1997,Alaska,0.488,0.512
125,2009,Louisiana,0.547,0.453
126,2007,New York,0.556,0.444
127,2005,Indiana,0.498,0.502
128,2010,New Jersey,0.594,0.406
129,1995,Delaware,0.489,0.511
130,2000,Michigan,0.504,0.496
131,1996,Minnesota,0.563,0.4370000000000001
132,2004,Iowa,0.578,0.422
133,2000,Kentucky,0.465,0.535
134,1996,Oregon,0.489,0.511
135,1995,Alaska,0.479,0.521
136,2007,Pennsylvania,0.551,0.449
137,2005,South Carolina,0.531,0.469
138,1999,Vermont,0.516,0.484
139,1999,New Mexico,0.529,0.471
140,2004,Indiana,0.525,0.475
141,2009,Nebraska,0.5870000000000001,0.413
142,2005,Georgia,0.56,0.44
143,2000,Louisiana,0.565,0.435
144,1995,Wisconsin,0.507,0.493
145,2007,Hawaii,0.57,0.43
146,2010,New York,0.578,0.422
147,1997,New Mexico,0.526,0.474
148,2004,Florida,0.539,0.461
149,1996,Maryland,0.557,0.443
150,2007,Missouri,0.521,0.479
151,2010,Arizona,0.5710000000000001,0.429
152,1998,Pennsylvania,0.5329999999999999,0.467
153,1998,Texas,0.555,0.445
154,1999,Wisconsin,0.477,0.523
155,1999,Montana,0.521,0.479
156,2006,Minnesota,0.541,0.459
157,1995,Missouri,0.488,0.512
158,2009,Tennessee,0.5329999999999999,0.467
159,1998,Maryland,0.534,0.466
160,2001,Utah,0.6970000000000001,0.303
161,2002,South Carolina,0.509,0.491
162,2005,Maine,0.491,0.509
163,1997,Georgia,0.623,0.377
164,2005,New York,0.54,0.46
165,2004,Massachusetts,0.546,0.454
166,2010,Vermont,0.54,0.46
167,2008,North Carolina,0.5429999999999999,0.457
168,2008,Alabama,0.56,0.44
169,2006,North Dakota,0.564,0.436
170,2008,Mississippi,0.551,0.449
171,2008,Utah,0.745,0.255
172,2009,New Jersey,0.588,0.412
173,2006,Hawaii,0.573,0.4270000000000001
174,2009,Kansas,0.588,0.412
175,2007,Colorado,0.5670000000000001,0.433
176,1998,Georgia,0.545,0.455
177,2009,Michigan,0.5489999999999999,0.451
178,2004,Delaware,0.505,0.495
179,1999,Nebraska,0.547,0.453
180,2008,Oklahoma,0.506,0.494
181,2005,Delaware,0.521,0.479
182,2008,South Dakota,0.564,0.436
183,1995,South Carolina,0.561,0.439
184,1998,Massachusetts,0.511,0.489
185,1998,Michigan,0.472,0.528
186,2010,Alabama,0.542,0.458
187,2003,Missouri,0.485,0.515
188,2002,Tennessee,0.536,0.464
189,2007,Indiana,0.53,0.47
190,2007,Tennessee,0.518,0.482
191,2007,Louisiana,0.5710000000000001,0.429
192,2007,New Jersey,0.5820000000000001,0.418
193,1997,New Hampshire,0.44,0.56
194,2002,Vermont,0.465,0.535
195,2009,Rhode Island,0.5539999999999999,0.446
196,1996,Florida,0.475,0.525
197,1997,Louisiana,0.536,0.464
198,2009,Iowa,0.5870000000000001,0.413
199,2004,Montana,0.545,0.455
200,1995,Connecticut,0.507,0.493
201,2001,New Mexico,0.512,0.488
202,2003,West Virginia,0.469,0.531
203,2010,Idaho,0.615,0.385
204,2009,Texas,0.605,0.395
205,2008,Arizona,0.5670000000000001,0.433
206,2000,Delaware,0.532,0.468
207,2009,Washington,0.584,0.416
208,2007,Maine,0.491,0.509
209,2008,Connecticut,0.54,0.46
210,2005,Vermont,0.5,0.5
211,2006,New Hampshire,0.516,0.484
212,2002,Arkansas,0.488,0.512
213,2005,Tennessee,0.513,0.487
214,2005,West Virginia,0.49,0.51
215,2004,Tennessee,0.517,0.483
216,2000,Texas,0.562,0.438
217,2008,Tennessee,0.55,0.45
218,2006,South Carolina,0.5329999999999999,0.467
219,2000,Iowa,0.537,0.463
220,2006,Pennsylvania,0.53,0.47
221,2005,Missouri,0.524,0.476
222,2009,Utah,0.7509999999999999,0.24900000000000005
223,1999,Colorado,0.517,0.483
224,1999,New York,0.551,0.449
225,1997,Rhode Island,0.49,0.51
226,2004,Kentucky,0.521,0.479
227,2000,Pennsylvania,0.511,0.489
228,2006,Alaska,0.485,0.515
229,2010,Wisconsin,0.546,0.454
230,1995,Ohio,0.502,0.498
231,2006,Texas,0.604,0.396
232,2005,Rhode Island,0.514,0.486
233,1997,New York,0.532,0.468
234,2000,Maine,0.463,0.537
235,2004,Maryland,0.575,0.425
236,2003,California,0.58,0.42
237,2000,South Carolina,0.532,0.468
238,1997,Colorado,0.519,0.481
239,2010,Virginia,0.57,0.43
240,2005,Connecticut,0.541,0.459
241,2004,District of Columbia,0.599,0.401
242,1996,Connecticut,0.5,0.5
243,1996,Alaska,0.463,0.537
244,2010,Michigan,0.557,0.443
245,1999,Maryland,0.555,0.445
246,1995,Nevada,0.474,0.526
247,2003,Utah,0.715,0.285
248,2005,Nevada,0.529,0.471
249,2006,Virginia,0.555,0.445
250,2005,North Carolina,0.5379999999999999,0.462
251,2008,Texas,0.6,0.4
252,2003,Indiana,0.495,0.505
253,1997,Wyoming,0.506,0.494
254,2001,Maryland,0.542,0.458
255,1998,Florida,0.519,0.481
256,2008,Alaska,0.5,0.5
257,1996,Alabama,0.561,0.439
258,2001,North Carolina,0.504,0.496
259,1997,Washington,0.493,0.507
260,2001,Delaware,0.495,0.505
261,2006,Arkansas,0.512,0.488
262,1996,Louisiana,0.527,0.473
263,2008,Indiana,0.51,0.49
264,1997,Maryland,0.568,0.4320000000000001
265,2007,Arkansas,0.539,0.461
266,2008,Arkansas,0.514,0.486
267,2009,Virginia,0.565,0.435
268,2004,South Carolina,0.5379999999999999,0.462
269,2001,Nebraska,0.574,0.426
270,2003,Montana,0.516,0.484
271,1996,Maine,0.469,0.531
272,1996,Tennessee,0.522,0.478
273,1997,New Jersey,0.524,0.476
274,1999,Iowa,0.519,0.481
275,1997,Arkansas,0.514,0.486
276,1998,Rhode Island,0.484,0.516
277,2008,Maryland,0.609,0.391
278,2010,Ohio,0.529,0.471
279,2007,Rhode Island,0.546,0.454
280,1995,Indiana,0.5,0.5
281,2007,Oklahoma,0.51,0.49
282,1999,Rhode Island,0.522,0.478
283,2009,Hawaii,0.5770000000000001,0.423
284,2005,Washington,0.551,0.449
285,2003,Maryland,0.562,0.438
286,2000,Nevada,0.443,0.557
287,2001,New Jersey,0.527,0.473
288,1995,North Dakota,0.532,0.468
289,2006,Michigan,0.522,0.478
290,2006,Wyoming,0.535,0.465
291,2001,Alabama,0.528,0.472
292,2003,Pennsylvania,0.494,0.506
293,2004,Vermont,0.494,0.506
294,2004,Rhode Island,0.499,0.501
295,1995,Georgia,0.616,0.384
296,2005,Illinois,0.561,0.439
297,1995,Montana,0.498,0.502
298,2004,Wisconsin,0.5379999999999999,0.462
299,2007,Maryland,0.593,0.407
300,2007,Alabama,0.5429999999999999,0.457
301,2006,Massachusetts,0.545,0.455
302,2001,Oregon,0.509,0.491
303,2010,Illinois,0.595,0.405
304,2003,Oklahoma,0.527,0.473
305,2000,New Hampshire,0.45,0.55
306,2009,Maine,0.516,0.484
307,2010,Connecticut,0.5760000000000001,0.424
308,2003,Texas,0.563,0.4370000000000001
309,2004,Illinois,0.562,0.438
310,2007,Illinois,0.564,0.436
311,1997,Missouri,0.4970000000000001,0.503
312,1995,Louisiana,0.527,0.473
313,2002,Ohio,0.487,0.513
314,2006,Mississippi,0.5379999999999999,0.462
315,2001,California,0.569,0.431
316,2006,West Virginia,0.496,0.504
317,2005,Pennsylvania,0.51,0.49
318,2002,Illinois,0.5429999999999999,0.457
319,1998,Illinois,0.519,0.481
320,2008,Minnesota,0.5539999999999999,0.446
321,2008,California,0.627,0.373
322,2009,South Dakota,0.5529999999999999,0.447
323,2001,North Dakota,0.531,0.469
324,2007,Alaska,0.507,0.493
325,1996,Ohio,0.502,0.498
326,2010,Maine,0.516,0.484
327,2007,South Carolina,0.531,0.469
328,1998,New Jersey,0.545,0.455
329,1995,Oklahoma,0.612,0.388
330,2000,New Jersey,0.5660000000000001,0.434
331,1996,Washington,0.4970000000000001,0.503
332,2007,Montana,0.539,0.461
333,2003,Alabama,0.508,0.4920000000000001
334,2005,Alabama,0.5429999999999999,0.457
335,1999,California,0.5489999999999999,0.451
336,2007,Washington,0.57,0.43
337,2001,Indiana,0.5,0.5
338,1998,Wyoming,0.52,0.48
339,2009,California,0.639,0.361
340,1996,Wyoming,0.503,0.4970000000000001
341,1999,Ohio,0.484,0.516
342,2009,New York,0.557,0.443
343,2008,Wisconsin,0.535,0.465
344,1995,Kentucky,0.501,0.499
345,1998,Hawaii,0.544,0.456
346,2003,Wyoming,0.491,0.509
347,2008,Ohio,0.544,0.456
348,2002,Michigan,0.487,0.513
349,2005,District of Columbia,0.585,0.415
350,2003,Nebraska,0.547,0.453
351,2008,North Dakota,0.565,0.435
352,2000,Massachusetts,0.519,0.481
353,2008,Wyoming,0.552,0.448
354,1998,Nevada,0.456,0.544
355,1997,District of Columbia,0.654,0.3459999999999999
356,2010,Iowa,0.604,0.396
357,2006,Oregon,0.5579999999999999,0.442
358,2006,New York,0.573,0.4270000000000001
359,1997,Alabama,0.5329999999999999,0.467
360,1996,Kentucky,0.452,0.5479999999999999
361,1996,Delaware,0.49,0.51
362,1995,Nebraska,0.525,0.475
363,1998,North Carolina,0.519,0.481
364,1995,Virginia,0.535,0.465
365,2002,Georgia,0.5429999999999999,0.457
366,1997,Mississippi,0.556,0.444
367,2003,District of Columbia,0.5579999999999999,0.442
368,2006,Nebraska,0.575,0.425
369,1999,North Dakota,0.531,0.469
370,2006,South Dakota,0.5479999999999999,0.452
371,2005,Texas,0.59,0.41
372,1999,Arkansas,0.4970000000000001,0.503
373,2008,Massachusetts,0.5579999999999999,0.442
374,1999,Indiana,0.51,0.49
375,2008,Illinois,0.5529999999999999,0.447
376,2004,Connecticut,0.519,0.481
377,1999,Wyoming,0.512,0.488
378,2003,South Carolina,0.515,0.485
379,1998,Mississippi,0.54,0.46
380,1999,Tennessee,0.544,0.456
381,2004,Oklahoma,0.514,0.486
382,2010,North Carolina,0.5579999999999999,0.442
383,1996,Oklahoma,0.575,0.425
384,2006,District of Columbia,0.6,0.4
385,2005,Iowa,0.5479999999999999,0.452
386,2003,New Hampshire,0.478,0.522
387,2010,Colorado,0.593,0.407
388,2007,Michigan,0.541,0.459
389,2007,Kansas,0.588,0.412
390,2010,Utah,0.7659999999999999,0.2340000000000001
391,2000,Missouri,0.481,0.519
392,2003,Louisiana,0.527,0.473
393,2009,Florida,0.5529999999999999,0.447
394,1997,Connecticut,0.493,0.507
395,1997,Nebraska,0.552,0.448
396,1997,South Dakota,0.499,0.501
397,2006,Illinois,0.5579999999999999,0.442
398,2004,Arkansas,0.498,0.502
399,2000,Rhode Island,0.499,0.501
400,2005,Colorado,0.5539999999999999,0.446
401,2002,North Carolina,0.4970000000000001,0.503
402,1997,Tennessee,0.517,0.483
403,1996,New Mexico,0.53,0.47
404,1997,Illinois,0.51,0.49
405,2000,Florida,0.494,0.506
406,1995,Maine,0.481,0.519
407,2010,Tennessee,0.57,0.43
408,1998,Delaware,0.51,0.49
409,2001,Wisconsin,0.478,0.522
410,2002,Minnesota,0.514,0.486
411,2010,Oklahoma,0.52,0.48
412,1998,Minnesota,0.634,0.366
413,2009,Alaska,0.513,0.487
414,2000,District of Columbia,0.5710000000000001,0.429
415,1995,Oregon,0.499,0.501
416,2002,Colorado,0.54,0.46
417,2003,Arizona,0.53,0.47
418,1996,New York,0.531,0.469
419,2000,Ohio,0.506,0.494
420,2001,Kansas,0.535,0.465
421,2006,Wisconsin,0.532,0.468
422,1999,Virginia,0.5329999999999999,0.467
423,2003,New Mexico,0.521,0.479
424,2000,Arkansas,0.504,0.496
425,2007,New Hampshire,0.504,0.496
426,2008,Iowa,0.5660000000000001,0.434
427,2001,Kentucky,0.455,0.545
428,1999,Washington,0.508,0.4920000000000001
429,2010,Indiana,0.537,0.463
430,2010,Wyoming,0.5589999999999999,0.441
431,2008,Delaware,0.537,0.463
432,2003,Connecticut,0.502,0.498
433,2003,New Jersey,0.5429999999999999,0.457
434,2009,Ohio,0.5379999999999999,0.462
435,2006,Rhode Island,0.52,0.48
436,1996,Pennsylvania,0.523,0.477
437,1999,South Carolina,0.56,0.44
438,1997,Vermont,0.477,0.523
439,1998,West Virginia,0.483,0.517
440,1996,Arizona,0.512,0.488
441,1998,California,0.546,0.454
442,1999,District of Columbia,0.633,0.3670000000000001
443,1998,New Hampshire,0.482,0.518
444,2001,Alaska,0.469,0.531
445,1999,Nevada,0.395,0.605
446,1996,Montana,0.513,0.487
